Player_ID,Matches,Innings,Runs,Batting_Average,Strike_Rate,Fours,Sixes,Wickets,Bowling_Average,Economy_Rate,Catches,Player_Performance_Score
P0052,49,49,50,44.0,155.2,5,1,7,26.4,8.9,10,30.0
P0053,13,11,994,41.9,135.0,95,51,7,33.0,7.4,13,30.0
P0054,11,10,144,21.8,134.8,14,5,8,16.0,8.9,12,30.0
P0055,15,13,913,49.3,129.1,70,23,9,28.1,9.2,16,30.0
P0056,13,11,1170,48.4,137.8,114,50,9,30.1,7.5,9,32.2
P0057,38,35,50,30.4,149.9,4,2,10,26.5,9.9,8,30.0
P0058,27,25,287,39.6,119.4,25,15,7,27.6,7.4,10,30.0
P0059,35,35,1007,40.4,123.2,106,25,4,16.3,7.2,20,30.0
P0060,43,41,339,38.3,129.5,26,14,6,31.9,8.3,15,30.0
P0061,19,19,1613,31.0,110.8,127,27,7,34.2,7.0,11,30.0
P0062,45,45,193,30.0,120.3,22,3,6,32.9,7.5,7,30.0
P0063,23,23,365,35.8,126.4,23,5,10,37.3,8.8,11,30.0
P0064,40,39,2186,46.6,150.7,194,120,7,30.6,7.4,9,47.2
P0065,24,21,50,40.9,139.7,5,2,15,32.8,5.7,14,30.0
P0066,17,17,335,32.7,138.5,32,15,5,30.2,7.8,8,30.0
P0067,23,23,1301,42.9,150.3,120,46,5,34.5,6.7,13,38.9
P0068,32,31,310,15.0,132.5,23,8,6,16.4,8.3,7,30.0
P0069,49,49,2058,46.3,142.0,165,43,8,21.9,8.1,14,47.8
P0070,30,28,268,20.3,133.1,29,7,13,41.7,8.9,12,30.0
P0071,25,23,50,32.7,139.8,4,1,8,15.0,8.3,12,30.0
P0072,27,24,822,25.9,124.5,74,37,6,27.9,8.5,14,30.0
P0073,33,33,2213,24.3,91.1,146,80,13,38.4,6.7,12,30.0
P0074,35,34,1608,46.4,132.6,98,29,5,28.3,8.2,16,37.3
P0075,34,32,1246,31.8,160.6,146,19,7,25.8,9.4,9,30.0
P0076,50,49,3244,39.1,151.7,268,61,6,30.0,6.7,10,60.4
P0077,38,37,50,35.6,152.4,4,1,6,26.2,9.2,10,30.0
P0078,24,22,2395,40.3,157.3,155,125,7,29.2,6.9,4,53.2
P0079,10,9,397,36.7,136.6,40,16,8,23.5,6.5,10,30.0
P0080,34,32,2059,24.5,138.6,238,96,6,37.9,7.7,6,30.0
P0081,16,15,180,45.0,123.9,17,6,9,40.4,8.1,12,30.0
P0082,18,16,1422,31.6,129.3,96,41,7,27.9,8.3,18,30.7
P0083,33,33,1288,22.0,146.1,122,24,6,17.9,6.4,9,35.4
P0084,10,7,349,32.1,156.7,36,17,6,24.8,7.8,12,30.0
P0085,17,15,916,49.5,132.5,77,42,6,27.5,6.7,11,33.0
P0086,33,31,1016,43.7,126.9,114,22,5,33.0,5.9,18,30.0
P0087,20,17,1229,32.9,135.0,121,43,7,20.9,6.5,12,30.0
P0088,26,24,899,32.9,145.8,102,31,4,22.8,6.6,8,30.0
P0089,17,15,50,33.1,109.0,4,2,12,33.1,7.9,10,30.0
P0090,44,43,50,54.7,93.7,3,2,6,36.5,8.6,15,30.0
P0091,44,41,1316,39.4,125.1,103,50,10,24.0,5.9,9,36.9
P0092,42,42,2193,39.9,113.0,158,80,4,18.3,7.8,13,48.1
P0093,14,12,512,45.3,125.9,58,8,8,55.0,6.2,11,30.0
P0094,48,45,3809,38.1,132.3,402,66,2,35.3,8.0,13,60.3
P0095,50,49,50,33.7,126.8,5,1,6,26.9,6.8,13,30.0
P0096,37,37,1448,34.2,161.1,113,23,9,36.0,6.3,15,30.0
P0097,16,13,50,35.4,140.9,3,2,6,28.0,8.2,10,30.0
P0098,18,18,1129,35.7,140.4,118,49,10,35.9,6.8,9,30.0
P0099,17,17,655,42.5,146.2,57,13,6,30.3,7.1,12,30.0
P0100,21,21,1087,36.5,114.5,79,52,8,29.7,5.2,7,30.0
P0101,43,41,237,42.6,153.7,22,5,3,28.1,8.3,17,30.0
P0102,42,40,3216,35.3,133.6,200,86,5,17.4,8.2,13,63.5
P0103,32,31,2323,36.7,147.1,184,57,11,44.5,7.4,7,36.4
P0104,33,32,912,18.0,115.7,80,27,9,21.5,5.9,12,30.0
P0105,46,43,1656,44.2,107.0,114,41,7,18.1,8.6,11,37.6
P0106,44,43,2657,39.1,149.7,316,91,8,27.3,6.7,9,58.0
P0107,49,49,646,45.0,141.8,46,20,4,21.3,6.9,9,30.0
P0108,31,31,862,15.0,118.8,58,46,12,28.6,9.7,12,30.0
P0109,36,34,4936,54.8,119.3,356,85,11,34.5,6.7,9,88.4
P0110,44,44,3165,34.7,155.3,335,65,6,37.0,8.1,9,51.4
P0111,10,7,87,46.0,113.6,7,1,9,35.5,8.0,20,30.0
P0112,44,44,1595,26.6,164.6,149,63,14,26.6,7.8,11,33.3
P0113,46,46,50,41.5,118.8,3,0,8,29.4,7.7,14,30.0
P0114,23,20,833,26.5,146.5,51,40,8,32.3,7.8,17,30.0
P0115,12,11,484,30.4,129.1,41,17,6,15.0,7.7,12,30.0
P0116,10,9,50,53.2,145.9,5,1,8,33.6,7.3,19,30.0
P0117,14,11,50,34.3,125.2,5,1,6,17.3,8.9,17,30.0
P0118,35,33,897,38.0,132.1,58,19,11,45.3,6.1,15,30.0
P0119,23,23,704,43.8,135.7,64,16,5,25.8,8.4,24,30.0
P0120,48,45,50,40.5,117.0,5,1,12,27.5,8.2,7,30.0
P0121,36,36,1867,37.4,148.3,155,72,9,22.8,8.1,11,47.6
P0122,18,16,786,39.3,125.8,86,18,11,24.0,8.5,10,30.0
P0123,24,24,1114,57.6,130.9,75,21,6,47.2,7.3,9,30.0
P0124,24,21,181,35.5,117.1,21,9,9,36.5,5.5,5,30.0
P0125,35,35,2711,37.8,90.0,284,43,9,16.6,7.3,15,53.7
P0126,22,21,2534,45.5,131.6,295,119,9,41.0,6.4,9,48.2
P0127,41,39,925,45.9,178.4,93,43,9,38.5,6.7,6,30.0
P0128,48,46,832,46.7,149.1,68,22,7,26.8,6.2,14,31.7
P0129,41,39,2427,41.7,134.7,282,49,5,31.5,6.9,10,50.3
P0130,13,10,165,25.7,130.3,12,3,2,28.9,6.8,13,30.0
P0131,39,37,1614,50.7,135.4,129,69,9,44.8,5.0,10,35.6
P0132,46,45,2010,25.7,144.8,205,81,6,22.6,8.1,19,38.8
P0133,32,29,50,38.7,113.7,5,2,7,30.2,9.6,10,30.0
P0134,48,47,3182,29.2,155.1,368,167,4,25.6,8.0,12,59.6
P0135,24,24,911,35.4,147.9,65,38,9,17.5,7.2,10,30.0
P0136,38,38,871,39.0,147.9,93,18,8,46.5,7.3,13,30.0
P0137,45,45,1593,38.9,142.9,166,39,10,19.5,7.0,7,45.3
P0138,22,22,842,39.8,135.4,53,40,9,30.8,7.5,10,30.0
P0139,41,40,50,50.5,147.1,4,1,9,15.1,7.4,18,30.6
P0140,16,13,1300,40.1,145.7,100,23,2,25.8,6.6,12,33.8
P0141,31,28,985,33.8,128.6,77,42,6,32.4,9.1,12,30.0
P0142,37,35,2256,44.7,124.7,268,70,7,22.4,5.9,14,51.2
P0143,11,10,911,46.7,136.8,89,47,7,33.7,8.1,10,30.0
P0144,15,15,50,25.0,162.9,5,2,9,26.8,7.3,11,30.0
P0145,37,36,2194,41.4,112.7,260,40,6,38.3,9.3,14,33.1
P0146,37,35,1084,42.3,108.6,89,57,6,39.9,7.7,9,30.0
P0147,29,27,1661,33.3,138.0,179,42,10,24.3,7.0,15,38.0
P0148,39,38,50,48.4,135.9,4,1,10,29.6,7.2,11,30.0
P0149,20,19,593,34.6,138.1,66,18,12,30.5,7.4,12,30.0
P0150,37,36,530,37.1,139.4,37,9,8,34.0,6.3,9,30.0
P0151,34,31,1529,34.4,131.0,178,53,5,29.1,6.6,14,30.0
P0152,48,48,2550,36.1,161.8,186,50,8,30.5,5.6,11,55.7
P0153,42,41,313,26.1,106.2,24,9,8,27.1,6.5,13,30.0
P0154,10,9,59,23.0,120.1,6,1,8,29.9,7.5,22,30.0
P0155,36,35,1567,50.4,133.1,131,71,14,39.4,7.7,17,30.7
P0156,22,20,58,28.4,105.4,5,2,2,34.2,5.4,11,30.0
P0157,50,48,2394,27.1,131.8,207,50,7,34.6,7.3,11,42.1
P0158,12,9,94,16.6,164.9,9,2,7,34.8,8.0,13,30.0
P0159,48,48,50,30.2,135.4,3,1,5,27.8,7.2,14,30.0
P0160,15,12,180,24.1,139.2,11,3,7,31.6,6.8,11,30.0
P0161,17,17,50,50.8,112.3,3,2,8,20.3,7.0,12,30.0
P0162,36,34,50,45.1,123.9,4,2,8,39.2,6.9,12,30.0
P0163,18,16,50,29.8,128.2,3,1,12,15.0,6.8,14,30.0
P0164,46,44,2746,56.3,129.3,223,81,4,28.3,7.6,10,58.1
P0165,42,39,4071,44.8,158.1,341,78,6,38.1,9.7,13,72.6
P0166,33,32,1389,33.1,145.0,88,55,8,18.1,6.7,9,39.4
P0167,24,23,135,15.0,115.0,12,2,9,32.2,7.1,7,30.0
P0168,41,39,3214,56.6,139.4,363,174,6,23.6,7.3,14,68.8
P0169,41,40,508,23.5,144.0,35,23,11,26.0,6.7,16,30.0
P0170,33,32,207,21.2,155.5,19,6,6,36.6,8.5,11,30.0
P0171,50,47,50,45.2,163.4,4,1,9,30.6,5.0,11,30.0
P0172,21,21,50,58.0,116.7,4,2,12,15.0,6.9,17,30.0
P0173,48,46,1359,48.5,120.4,138,50,7,21.2,8.2,16,38.0
P0174,11,9,428,41.1,112.4,36,9,14,36.8,7.1,9,30.0
P0175,12,9,336,41.4,130.8,30,10,6,32.6,6.6,11,30.0
P0176,46,43,1096,43.7,143.4,66,53,9,43.0,7.8,11,30.0
P0177,26,25,58,42.8,152.8,5,2,8,42.5,8.3,5,30.0
P0178,11,9,557,38.5,133.6,55,22,10,26.3,7.6,15,30.0
P0179,11,11,50,36.9,129.2,3,2,9,49.0,6.6,14,30.0
P0180,37,34,2139,35.4,137.7,175,108,5,29.2,7.9,7,38.0
P0181,32,32,50,29.2,120.0,5,2,7,21.3,7.0,11,30.0
P0182,46,46,381,33.5,172.6,32,7,10,23.9,8.1,11,30.0
P0183,41,39,50,20.8,106.1,4,1,6,15.0,8.9,10,30.0
P0184,42,40,700,35.1,138.3,80,31,7,41.9,4.8,9,30.0
P0185,10,7,374,27.1,171.4,38,16,8,41.8,7.5,7,30.0
P0186,28,26,1027,26.1,135.1,97,40,6,20.9,5.7,18,30.0
P0187,11,9,669,37.6,131.6,72,14,5,27.2,9.8,18,30.0
P0188,35,33,2437,48.5,128.6,272,114,7,29.8,6.9,10,47.5
P0189,41,41,50,44.3,131.8,4,2,4,21.3,8.1,14,30.0
P0190,15,12,175,21.9,159.7,15,3,12,15.0,7.4,18,30.0
P0191,41,40,238,27.1,95.2,19,7,12,27.3,6.6,14,30.0
P0192,13,13,1347,44.5,162.6,158,29,9,26.4,6.5,8,36.0
P0193,20,18,50,27.2,109.4,5,1,7,25.9,9.0,12,30.0
P0194,26,26,1672,34.0,130.2,108,26,5,30.8,8.4,9,33.1
P0195,47,45,3488,41.0,127.3,389,108,5,40.4,9.3,11,54.7
P0196,33,31,2393,27.3,145.6,212,88,7,26.6,7.5,8,40.6
P0197,14,14,305,36.9,106.2,19,12,6,30.4,7.7,14,30.0
P0198,43,40,1643,24.0,143.3,152,68,7,34.8,7.1,13,30.0
P0199,15,13,1304,30.6,171.4,110,63,9,33.4,7.1,17,30.0
P0200,31,28,416,38.9,110.5,46,9,8,24.1,6.4,4,30.0
P0201,20,19,50,21.7,138.4,3,0,6,29.8,7.5,5,30.0
P0202,25,23,50,40.0,123.1,5,2,9,33.4,6.6,11,30.0
P0203,42,39,2392,35.8,142.7,223,50,8,20.0,7.8,8,46.7
P0204,18,15,50,41.0,135.3,3,2,5,39.1,7.6,10,30.0
P0205,15,14,334,38.0,123.5,39,16,9,40.5,7.7,11,30.0
P0206,25,22,1526,48.3,143.8,138,53,6,23.2,9.1,19,38.1
P0207,38,35,1540,37.1,167.5,119,83,8,30.5,7.4,7,40.8
P0208,12,11,503,32.1,131.6,44,9,6,34.1,8.2,12,30.0
P0209,29,27,1224,37.1,148.0,136,33,7,24.6,9.5,9,30.0
P0210,45,42,3913,40.9,111.7,306,158,8,32.9,8.7,18,67.5
P0211,28,25,50,36.4,117.8,3,1,5,30.3,8.6,15,30.0
P0212,35,32,375,36.4,143.5,25,19,8,17.3,7.1,7,30.0
P0213,12,12,80,29.7,161.7,6,1,5,32.7,7.6,13,30.0
P0214,28,27,1484,30.0,141.4,158,54,9,20.2,6.1,14,40.1
P0215,29,29,1288,23.4,129.4,113,49,11,36.5,7.9,7,30.0
P0216,41,40,3003,51.7,135.0,221,123,8,23.6,7.7,18,62.7
P0217,16,14,758,24.8,112.5,53,19,6,27.7,7.4,13,30.0
P0218,50,48,50,29.8,145.9,3,1,11,40.0,8.4,12,30.0
P0219,42,39,3072,29.5,150.9,357,149,7,33.0,6.2,10,55.6
P0220,49,48,5335,44.1,126.9,429,121,10,20.4,9.0,12,93.7
P0221,48,46,2662,33.3,126.5,317,127,8,20.9,8.3,12,51.1
P0222,27,26,3415,47.2,139.8,304,128,9,24.2,7.3,10,67.3
P0223,49,47,50,29.9,127.1,3,2,7,32.2,7.3,9,30.0
P0224,10,10,183,38.5,133.8,20,7,7,31.9,7.9,13,30.0
P0225,20,18,135,28.5,172.8,11,3,12,22.3,8.9,8,30.0
P0226,37,37,3522,55.3,130.6,361,132,3,19.7,7.5,16,74.3
P0227,34,32,50,25.3,128.5,5,2,6,31.3,7.5,18,30.0
P0228,32,29,1976,38.8,123.3,124,63,9,27.5,7.4,9,41.4
P0229,40,40,3954,41.7,148.4,260,212,8,46.3,9.2,11,60.3
P0230,39,37,2491,39.7,131.7,257,82,8,29.3,7.0,10,49.6
P0231,44,41,1807,34.3,123.3,138,37,7,43.5,7.4,9,30.0
P0232,16,16,50,34.8,158.8,3,1,9,19.6,8.9,14,30.0
P0233,25,22,122,36.4,160.6,7,6,11,16.4,7.5,7,30.0
P0234,35,34,2652,34.7,124.2,162,73,8,20.0,8.5,10,51.6
P0235,11,10,794,44.7,101.4,84,39,7,38.5,6.5,12,30.0
P0236,10,10,537,55.9,153.1,36,26,8,43.0,7.2,7,30.0
P0237,21,19,342,31.0,122.7,30,9,15,22.7,8.9,20,30.0
P0238,14,14,50,23.7,149.2,4,0,14,25.3,6.7,10,30.0
P0239,46,43,50,35.2,99.5,4,2,10,19.6,7.2,7,30.0
P0240,41,39,6723,59.2,151.1,414,184,6,15.0,7.7,13,100.0
P0241,18,17,50,28.8,113.2,5,2,13,34.7,6.4,12,30.0
P0242,50,48,2897,50.8,148.2,175,94,4,30.8,7.0,15,61.7
P0243,44,43,4410,51.1,135.3,466,151,4,29.1,7.5,9,83.4
P0244,28,26,50,31.0,117.8,5,2,7,17.8,7.4,8,30.0
P0245,25,23,1120,41.1,127.7,96,33,10,42.1,8.7,12,30.0
P0246,12,10,981,50.7,147.4,90,32,13,25.0,8.9,14,31.9
P0247,29,26,857,32.6,136.9,75,25,6,33.3,6.5,16,30.0
P0248,33,30,3965,34.2,145.5,330,117,10,17.4,7.5,16,79.1
P0249,42,42,50,30.8,170.6,5,1,5,27.5,8.1,8,30.0
P0250,33,33,1825,26.9,106.8,207,86,11,31.3,8.9,12,30.0
P0251,20,19,473,30.2,164.1,37,13,6,31.6,8.1,8,30.0
P0252,17,14,619,25.0,136.9,59,22,8,30.2,7.7,12,30.0
P0253,45,44,2302,36.3,118.8,266,96,4,33.0,8.1,16,35.1
P0254,47,47,364,29.1,111.1,42,9,8,20.0,8.1,11,30.0
P0255,49,48,2247,38.1,131.6,203,58,9,30.6,6.5,13,39.0
P0256,29,29,50,22.0,151.6,4,2,11,29.9,7.6,12,30.0
P0257,44,41,2562,39.0,132.7,196,112,8,30.9,8.9,17,39.9
P0258,34,32,1807,43.5,162.2,212,68,8,29.6,7.2,13,42.9
P0259,44,41,1213,18.1,108.9,83,49,9,18.8,7.5,10,30.0
P0260,34,33,2673,39.4,134.8,253,43,13,18.5,7.2,12,57.3
P0261,38,37,2380,47.0,112.5,183,94,10,15.0,5.1,8,63.8
P0262,27,24,691,25.1,141.5,53,24,9,35.5,7.4,10,30.0
P0263,27,24,145,51.1,151.0,12,5,8,35.6,7.7,10,30.0
P0264,11,11,125,39.8,127.4,14,3,7,35.7,6.9,14,30.0
P0265,44,43,2788,29.7,90.0,176,50,12,31.5,6.2,12,43.4
P0266,25,24,2075,35.5,138.6,196,47,2,15.0,6.5,14,47.6
P0267,50,47,1469,41.0,142.9,95,77,6,20.8,8.2,12,38.1
P0268,45,43,1649,36.7,142.3,114,51,6,30.4,9.4,16,37.2
P0269,42,41,159,40.8,157.2,13,5,6,30.1,8.8,20,30.0
P0270,13,11,662,27.7,115.7,59,11,13,27.2,6.1,15,30.0
P0271,42,39,2437,37.5,147.2,184,40,6,32.0,8.3,10,43.7
P0272,23,20,1369,23.3,156.5,108,59,6,29.1,6.7,8,30.0
P0273,30,30,127,35.0,103.0,8,4,9,30.0,6.8,16,30.0
P0274,29,28,485,27.9,140.8,37,17,8,23.9,6.9,8,30.0
P0275,17,15,542,29.4,125.9,63,13,14,36.9,8.1,8,30.0
P0276,16,16,1241,47.1,133.5,144,55,6,25.6,8.4,14,30.3
P0277,12,11,395,45.8,141.3,31,8,4,18.4,7.3,4,30.0
P0278,26,26,137,41.5,126.2,12,3,9,22.8,7.3,11,30.0
P0279,42,39,1920,26.2,122.8,219,64,7,26.2,7.9,18,36.4
P0280,21,20,1141,33.2,135.6,68,30,8,37.0,8.0,13,30.0
P0281,31,31,121,46.9,115.4,13,3,8,28.7,8.6,14,30.0
P0282,31,31,2721,37.3,115.5,318,111,10,27.5,6.1,13,57.1
P0283,39,37,4566,56.9,147.2,298,187,6,19.0,7.4,20,95.6
P0284,47,47,2107,39.5,114.3,146,101,4,35.3,6.3,12,36.3
P0285,47,46,1873,37.7,147.0,220,59,10,23.8,7.3,10,43.9
P0286,17,16,825,33.2,143.3,76,14,10,28.2,7.2,15,30.0
P0287,36,34,174,37.2,103.9,10,4,5,40.8,7.4,10,30.0
P0288,36,35,1248,34.6,122.8,94,67,7,33.1,6.6,17,30.4
P0289,43,40,50,42.4,156.5,4,1,8,16.0,5.9,16,30.0
P0290,30,29,2427,44.6,117.3,246,105,4,15.0,5.3,9,57.2
P0291,39,38,50,28.9,126.6,5,0,7,28.5,7.3,11,30.0
P0292,42,42,2525,24.0,143.3,302,90,12,19.3,7.0,6,59.6
P0293,37,37,482,19.5,149.1,37,7,8,34.2,6.7,12,30.0
P0294,42,41,1311,40.6,130.5,120,49,6,29.3,8.7,13,30.0
P0295,14,12,116,26.1,124.2,10,6,5,30.3,6.5,16,30.0
P0296,28,28,331,16.6,160.6,27,17,8,23.3,8.8,15,30.0
P0297,13,11,1050,39.5,166.3,73,38,9,42.9,9.0,8,30.0
P0298,44,43,50,58.4,152.6,5,1,4,51.7,5.4,8,30.0
P0299,26,25,2046,35.9,136.5,227,108,9,26.8,7.5,6,40.2
P0300,37,34,1981,43.5,120.5,178,83,6,31.8,7.0,10,39.7
P0301,39,39,50,36.7,120.1,4,0,11,29.8,4.5,14,30.0
P0302,38,37,50,35.1,144.4,3,1,9,26.9,6.0,10,30.0
P0303,15,12,1421,44.3,142.5,131,34,8,22.3,8.2,20,42.3
P0304,44,44,80,33.4,160.2,8,2,8,20.3,9.4,15,30.0
P0305,50,49,50,38.4,146.7,4,1,7,19.9,8.3,10,30.0
P0306,46,45,3740,38.9,107.9,446,143,7,32.2,7.7,14,64.8
P0307,33,33,1324,30.0,153.9,128,38,7,24.8,7.4,15,32.3
P0308,38,38,105,44.9,117.0,8,2,7,15.0,9.1,10,30.0
P0309,40,40,1675,34.4,128.1,178,58,12,32.6,9.5,13,30.0
P0310,44,43,50,29.2,139.5,3,2,11,28.7,6.8,17,30.0
P0311,42,41,3516,40.8,170.9,292,146,7,39.8,5.4,11,64.1
P0312,30,27,1553,27.9,180.0,125,44,4,32.0,5.3,11,36.8
P0313,41,39,2166,36.3,145.9,186,113,14,17.2,8.7,7,51.7
P0314,32,32,1565,35.9,131.7,167,80,10,15.0,7.4,10,43.6
P0315,42,41,5181,45.8,144.6,461,121,11,23.2,7.6,14,94.1
P0316,12,11,442,40.3,151.0,47,7,5,24.0,5.6,13,30.0
P0317,27,27,50,35.8,129.2,4,2,13,36.5,6.6,15,30.0
P0318,34,32,2011,43.4,167.3,161,96,8,28.9,7.1,8,44.1
P0319,40,40,5988,48.5,139.1,650,321,5,38.1,7.6,12,97.9
P0320,12,10,50,41.0,144.0,3,2,7,18.4,7.0,13,30.0
P0321,49,48,1106,36.1,147.0,81,43,8,36.7,6.4,12,30.0
P0322,33,31,1062,24.2,142.6,95,38,10,34.8,6.6,12,30.0
P0323,41,38,949,26.4,150.1,71,15,5,15.0,8.6,10,30.0
P0324,31,30,50,33.3,123.9,3,1,5,39.6,7.6,8,30.0
P0325,32,29,1877,30.5,125.0,185,62,4,29.7,8.0,18,30.0
P0326,11,11,1253,34.3,115.2,113,50,5,32.1,6.5,17,30.0
P0327,36,36,1572,36.5,142.9,136,58,12,22.1,4.5,12,47.9
P0328,11,11,50,40.8,149.0,5,2,2,39.2,6.9,11,30.0
P0329,35,33,50,35.4,143.2,4,1,7,19.5,6.5,19,30.0
P0330,26,25,1269,40.4,165.1,141,47,9,35.7,7.7,10,30.0
P0331,49,49,3771,36.6,134.9,257,69,9,35.6,10.5,11,57.2
P0332,42,42,1128,18.2,147.0,106,35,7,21.2,8.1,11,30.0
P0333,18,17,467,27.5,115.3,52,21,10,44.9,10.1,12,30.0
P0334,48,48,684,34.7,128.0,64,29,8,30.9,8.0,8,30.0
P0335,38,35,50,25.1,147.5,5,2,10,34.2,6.8,9,30.0
P0336,35,34,2582,41.4,150.3,212,67,10,16.8,7.7,18,65.8
P0337,44,43,4096,49.8,129.7,268,143,3,45.9,9.2,8,65.0
P0338,34,33,50,47.0,133.7,4,1,4,19.2,9.2,11,30.0
P0339,33,30,2647,34.1,107.7,221,86,7,37.2,6.8,11,47.2
P0340,22,21,1633,49.4,128.6,182,80,7,21.0,7.7,13,44.8
P0341,16,13,1164,37.3,151.0,86,49,8,24.0,6.0,6,30.0
P0342,45,44,50,33.0,145.4,5,2,4,35.3,8.2,9,30.0
P0343,29,27,50,30.5,144.0,5,1,9,37.2,9.0,10,30.0
P0344,10,10,283,33.3,135.9,21,14,13,18.8,7.4,14,30.0
P0345,17,15,732,32.5,135.1,59,12,8,37.7,6.7,16,30.0
P0346,25,25,2623,37.5,123.1,298,132,9,37.4,7.8,17,42.8
P0347,23,20,1277,37.4,147.6,150,35,10,21.5,7.8,11,34.5
P0348,21,19,518,36.0,142.6,44,14,5,41.8,7.5,7,30.0
P0349,32,31,50,39.9,143.9,3,1,6,17.3,7.6,10,30.0
P0350,24,24,2500,46.7,125.5,228,131,5,24.0,7.2,8,55.5
P0351,37,37,58,44.5,96.2,5,0,10,32.8,8.4,10,30.0
P0352,43,41,2439,22.6,154.7,186,70,7,22.2,8.1,10,46.5
P0353,11,8,85,15.0,126.4,8,4,9,31.1,6.4,9,30.0
P0354,41,39,4486,44.4,119.5,283,138,11,30.9,6.4,23,81.2
P0355,32,29,1153,23.7,147.5,72,26,7,27.5,7.1,12,30.0
P0356,31,28,821,34.0,127.9,68,26,8,35.7,8.1,16,30.0
P0357,34,34,416,25.5,154.1,33,12,9,27.2,7.5,11,30.0
P0358,31,29,378,19.8,146.1,29,19,9,30.9,6.8,11,30.0
P0359,31,29,1693,40.9,147.3,151,76,5,38.2,7.7,8,35.2
P0360,15,12,553,42.8,110.4,43,19,10,35.3,7.1,13,30.0
