Player_ID,MatchesPlayed,Goals,Assists,Shots,ShotsOnTarget,PassAccuracy,Tackles,Player_Performance_Score
P0042,35,14,7,33,14,90.04,28,100.0
P0043,11,8,2,23,15,83.19,22,68.56
P0044,29,11,4,48,33,83.4,17,100.0
P0045,37,7,1,26,11,92.11,22,86.77
P0046,16,5,6,38,18,86.06,31,88.93
P0047,17,7,1,36,16,92.91,34,78.83
P0048,44,9,6,47,33,66.64,34,100.0
P0049,23,8,6,36,19,85.23,26,85.31
P0050,26,10,0,44,26,78.39,29,88.5
P0051,45,9,6,42,21,94.29,25,94.94
P0052,49,9,1,38,22,92.82,23,83.71
P0053,13,5,4,16,8,82.23,27,66.97
P0054,11,5,6,31,15,92.75,24,71.97
P0055,15,8,7,30,18,94.48,37,95.78
P0056,13,8,6,27,15,82.52,18,86.91
P0057,38,3,3,20,9,98.0,33,74.42
P0058,27,4,7,31,12,81.78,29,84.74
P0059,35,8,6,40,19,80.5,22,93.11
P0060,43,9,5,31,15,88.06,27,87.34
P0061,19,8,7,42,25,79.52,30,87.4
P0062,45,8,4,37,26,82.6,25,91.96
P0063,23,9,7,31,11,91.87,31,92.4
P0064,40,7,1,27,12,82.13,21,74.56
P0065,24,11,2,31,13,70.13,19,78.41
P0066,17,10,2,48,26,84.57,22,82.35
P0067,23,10,6,31,16,77.13,30,89.54
P0068,32,9,8,33,21,88.06,23,95.08
P0069,49,6,6,24,10,86.87,18,85.67
P0070,30,5,0,39,22,92.3,24,78.21
P0071,25,9,10,36,25,88.35,20,100.0
P0072,27,6,2,18,12,89.63,28,76.32
P0073,33,5,5,24,17,77.32,20,75.79
P0074,35,8,8,41,27,87.63,27,100.0
P0075,34,9,5,46,32,95.78,18,98.08
P0076,50,12,4,44,19,77.18,28,93.04
P0077,38,8,3,36,15,94.6,24,97.58
P0078,24,14,7,51,17,78.15,26,94.8
P0079,10,3,7,21,13,76.04,28,69.07
P0080,34,6,3,22,15,84.07,24,81.55
P0081,16,8,3,26,11,87.01,31,85.21
P0082,18,10,2,31,18,88.38,21,76.01
P0083,33,4,2,28,18,75.27,23,75.57
P0084,10,6,7,29,20,85.04,22,88.62
P0085,17,9,4,25,15,77.2,13,78.07
P0086,33,7,1,42,31,71.58,23,78.04
P0087,20,11,3,50,24,75.5,39,86.39
P0088,26,11,10,35,17,76.74,30,97.16
P0089,17,8,3,44,24,85.65,16,86.74
P0090,44,10,6,27,13,90.07,25,95.01
P0091,44,8,4,26,9,71.69,34,88.15
P0092,42,5,5,39,25,84.46,20,82.96
P0093,14,5,3,31,20,73.76,25,65.98
P0094,48,12,7,31,20,86.4,24,100.0
P0095,50,7,5,20,9,77.64,33,93.88
P0096,37,13,2,42,23,74.64,25,93.87
P0097,16,6,6,40,19,87.6,19,81.86
P0098,18,7,3,24,8,77.89,14,71.44
P0099,17,12,2,38,21,79.79,22,89.34
P0100,21,8,7,31,12,66.46,29,77.54
P0101,43,12,6,44,16,88.63,20,100.0
P0102,42,3,3,26,16,87.75,26,77.13
P0103,32,9,5,46,16,82.04,24,95.92
P0104,33,6,7,34,24,71.31,32,84.88
P0105,46,6,4,38,21,90.47,27,88.01
P0106,44,8,4,43,31,77.34,28,97.44
P0107,49,8,3,44,16,78.83,26,89.22
P0108,31,6,6,25,14,98.0,29,89.72
P0109,36,5,4,35,17,77.07,22,80.8
P0110,44,9,5,41,28,87.2,20,93.95
P0111,10,11,7,28,13,85.93,25,92.86
P0112,44,7,4,42,19,84.73,17,91.81
P0113,46,9,3,23,15,83.97,32,97.06
P0114,23,4,1,38,18,84.63,26,70.61
P0115,12,4,5,28,9,83.9,18,70.45
P0116,10,6,8,38,19,81.64,25,81.6
P0117,14,4,5,30,18,92.58,24,81.55
P0118,35,10,5,27,12,72.81,21,90.46
P0119,23,10,3,48,25,89.15,15,88.93
P0120,48,9,3,23,9,87.76,21,82.63
P0121,36,15,6,40,23,86.89,25,100.0
P0122,18,7,5,37,24,89.82,21,87.15
P0123,24,13,7,52,26,81.35,20,95.94
P0124,24,5,6,33,17,68.92,37,80.53
P0125,35,10,8,35,13,81.49,24,87.39
P0126,22,7,8,26,11,75.06,28,86.03
P0127,41,11,8,31,12,76.88,28,90.33
P0128,48,7,9,38,20,73.3,32,95.7
P0129,41,10,5,33,18,78.66,32,95.21
P0130,13,9,3,37,26,77.82,26,86.37
P0131,39,12,4,49,18,65.36,36,92.96
P0132,46,5,5,28,16,86.9,32,91.43
P0133,32,6,6,20,11,97.54,27,86.81
P0134,48,8,7,44,24,86.24,29,100.0
P0135,24,11,4,50,34,80.58,42,98.46
P0136,38,5,6,22,9,81.62,19,79.77
P0137,45,6,13,36,13,79.05,23,89.53
P0138,22,7,3,35,21,82.63,22,77.27
P0139,41,10,7,26,12,81.74,21,94.2
P0140,16,7,7,38,13,76.11,15,76.16
P0141,31,8,2,36,16,93.78,29,85.31
P0142,37,9,5,32,15,71.59,21,84.53
P0143,11,7,2,20,11,87.03,17,67.47
P0144,15,7,4,29,12,81.29,28,73.98
P0145,37,8,3,30,15,95.31,22,86.92
P0146,37,11,3,45,24,84.39,27,95.16
P0147,29,12,1,53,28,79.48,23,92.52
P0148,39,8,7,45,33,80.27,35,99.95
P0149,20,11,4,40,14,82.28,22,80.48
P0150,37,5,9,25,18,74.0,25,81.78
P0151,34,10,4,33,19,76.63,22,98.86
P0152,48,9,6,29,19,69.51,27,88.85
P0153,42,9,3,37,19,75.54,18,85.07
P0154,10,7,8,38,20,82.66,23,84.95
P0155,36,9,6,39,27,84.1,34,99.56
P0156,22,12,5,31,21,68.14,30,91.11
P0157,50,7,3,33,14,81.04,25,85.32
P0158,12,10,11,38,16,85.94,24,93.14
P0159,48,7,7,26,14,80.86,28,92.73
P0160,15,4,6,16,11,77.56,23,70.01
P0161,17,9,6,48,22,79.11,24,87.0
P0162,36,4,6,22,13,78.21,28,84.81
P0163,18,7,6,20,12,77.54,21,77.4
P0164,46,15,5,48,31,83.22,29,100.0
P0165,42,10,8,32,18,98.0,24,100.0
P0166,33,5,6,37,18,76.79,25,86.4
P0167,24,7,8,28,20,79.77,20,92.77
P0168,41,3,13,35,20,81.64,28,87.52
P0169,41,3,4,28,17,77.19,24,82.25
P0170,33,8,1,35,17,89.69,15,84.42
P0171,50,9,4,27,16,65.4,26,85.05
P0172,21,8,2,42,19,78.28,40,82.42
P0173,48,4,7,25,11,87.73,32,92.88
P0174,11,6,4,34,21,79.94,24,72.49
P0175,12,7,5,20,11,76.25,23,75.31
P0176,46,7,8,31,19,85.09,27,99.92
P0177,26,4,6,26,11,88.34,27,74.56
P0178,11,5,5,24,14,83.47,24,72.77
P0179,11,13,2,34,17,76.39,25,83.49
P0180,37,11,6,41,24,85.19,25,96.02
P0181,32,4,5,20,9,79.19,28,72.75
P0182,46,8,6,35,22,87.22,23,96.02
P0183,41,6,3,30,20,92.38,27,91.68
P0184,42,4,6,33,14,63.76,21,80.41
P0185,10,5,6,23,10,82.78,31,70.21
P0186,28,12,4,48,29,69.85,18,94.26
P0187,11,9,7,25,15,98.0,27,84.66
P0188,35,7,4,44,27,78.72,31,83.08
P0189,41,11,0,41,25,87.22,24,91.57
P0190,15,10,9,48,24,81.75,23,97.17
P0191,41,11,1,43,21,76.38,33,93.85
P0192,13,13,6,55,24,75.55,31,92.58
P0193,20,9,4,38,15,93.1,21,82.83
P0194,26,7,5,22,13,88.69,23,81.26
P0195,47,5,6,25,9,95.61,23,88.75
P0196,33,8,8,45,32,82.39,15,92.25
P0197,14,9,4,30,20,84.02,29,82.15
P0198,43,6,5,19,13,80.13,28,84.71
P0199,15,7,10,37,26,79.99,18,83.08
P0200,31,7,5,32,16,74.71,29,79.74
P0201,20,10,7,33,22,82.59,23,92.61
P0202,25,10,6,27,11,76.48,24,84.87
P0203,42,6,4,20,7,85.09,26,80.92
P0204,18,4,3,37,24,83.19,23,71.89
P0205,15,4,5,16,6,84.01,20,75.18
P0206,25,4,4,23,17,93.73,18,74.93
P0207,38,9,4,41,25,81.74,34,95.46
P0208,12,7,5,34,22,87.3,34,81.61
P0209,29,11,2,49,21,96.36,22,92.19
P0210,45,8,7,42,26,91.15,28,100.0
P0211,28,12,3,45,16,90.07,34,87.46
P0212,35,10,5,34,23,79.85,28,93.97
P0213,12,4,6,36,15,83.61,20,77.92
P0214,28,3,8,27,16,72.77,25,85.22
P0215,29,5,5,30,13,85.49,20,78.52
P0216,41,10,3,44,16,83.92,24,90.73
P0217,16,5,3,36,19,82.16,19,82.12
P0218,50,4,5,18,7,89.19,28,89.0
P0219,42,10,7,31,19,73.55,27,93.03
P0220,49,6,5,30,13,93.44,33,89.83
P0221,48,10,5,35,17,88.31,14,99.52
P0222,27,11,10,38,21,81.51,15,93.08
P0223,49,5,2,28,12,80.96,24,85.19
P0224,10,8,6,25,12,85.36,19,79.56
P0225,20,6,7,21,14,92.65,22,85.27
P0226,37,9,4,42,17,82.71,24,87.95
P0227,34,11,11,48,18,83.01,35,100.0
P0228,32,13,5,53,25,82.13,25,100.0
P0229,40,4,4,38,19,94.47,34,86.53
P0230,39,8,1,35,19,79.42,18,81.03
P0231,44,5,11,40,19,81.79,19,93.85
P0232,16,11,3,27,17,92.24,26,87.43
P0233,25,8,2,45,16,83.03,27,76.34
P0234,35,3,7,34,17,89.96,18,80.97
P0235,11,10,5,47,23,75.62,34,83.02
P0236,10,12,1,37,22,80.56,26,85.82
P0237,21,7,6,21,15,92.39,24,81.05
P0238,14,8,4,46,25,77.27,23,74.1
P0239,46,2,9,12,8,80.94,25,74.99
P0240,41,6,4,32,15,83.8,26,79.16
P0241,18,2,9,15,5,75.08,23,75.16
P0242,50,11,5,48,19,79.1,21,97.74
P0243,44,11,2,40,20,82.79,26,95.77
P0244,28,8,8,36,17,82.33,19,90.87
P0245,25,14,2,50,19,90.96,30,94.99
P0246,12,13,7,46,24,92.79,34,98.7
P0247,29,2,9,24,11,76.01,21,80.34
P0248,33,12,3,30,12,82.78,23,89.45
P0249,42,7,3,28,13,86.72,22,90.49
P0250,33,9,6,29,20,92.61,21,96.44
P0251,20,6,7,41,19,87.03,28,82.49
P0252,17,8,2,35,22,84.04,18,77.03
P0253,45,9,9,31,18,86.67,22,97.07
P0254,47,7,5,25,13,86.72,25,94.85
P0255,49,8,5,44,19,75.51,18,89.06
P0256,29,6,3,32,15,83.35,37,78.1
P0257,44,7,6,44,25,92.21,22,98.01
P0258,34,10,6,27,13,80.55,18,88.56
P0259,44,9,4,39,17,82.91,27,93.2
P0260,34,9,6,45,17,80.3,26,97.97
P0261,38,2,8,16,11,65.8,16,77.81
P0262,27,6,4,18,9,82.14,21,76.19
P0263,27,9,6,47,28,84.11,20,87.27
P0264,11,4,4,32,17,78.41,25,68.35
P0265,44,13,9,56,39,73.92,28,100.0
P0266,25,8,5,45,25,75.84,30,82.55
P0267,50,11,7,29,15,87.35,30,100.0
P0268,45,6,2,24,17,95.81,20,86.88
P0269,42,8,4,22,14,91.68,26,90.75
P0270,13,7,4,37,14,72.59,20,69.61
P0271,42,11,7,43,18,87.98,26,100.0
P0272,23,8,3,25,16,77.36,31,75.66
P0273,30,11,4,46,31,77.92,24,100.0
P0274,29,2,3,25,14,78.77,24,75.7
P0275,17,5,3,24,13,86.94,27,77.64
P0276,16,5,2,23,13,88.71,25,66.53
P0277,12,6,10,38,19,81.31,32,86.3
P0278,26,12,3,34,21,81.43,27,95.65
P0279,42,5,2,25,9,85.25,22,80.25
P0280,21,7,6,20,14,85.98,25,78.52
P0281,31,7,4,41,26,90.23,19,86.13
P0282,31,13,6,42,25,73.01,23,95.38
P0283,39,9,2,34,16,82.14,22,83.5
P0284,47,8,4,36,14,74.52,28,93.97
P0285,47,8,9,45,23,81.64,25,92.68
P0286,17,4,10,34,20,80.42,28,85.93
P0287,36,10,5,48,28,81.67,25,91.4
P0288,36,13,2,42,21,76.4,31,90.08
P0289,43,6,3,37,22,71.59,36,77.84
P0290,30,9,7,40,27,67.34,30,89.81
P0291,39,9,6,35,12,81.08,22,95.46
P0292,42,9,4,37,19,78.98,19,90.74
P0293,37,3,2,26,16,77.27,31,70.47
P0294,42,8,7,24,13,91.26,19,96.99
P0295,14,9,6,34,20,75.98,19,87.22
P0296,28,7,7,35,19,91.92,33,92.14
P0297,13,6,7,17,12,93.37,27,89.09
P0298,44,4,3,34,12,68.34,13,76.56
P0299,26,16,3,54,29,82.65,23,100.0
P0300,37,11,4,48,18,79.2,34,90.43
P0301,39,9,5,38,15,61.62,24,86.78
P0302,38,7,2,19,9,71.89,26,77.73
P0303,15,13,4,40,16,87.42,28,91.75
P0304,44,4,7,31,22,96.13,27,90.94
P0305,50,10,5,40,29,88.32,36,100.0
P0306,46,8,6,34,16,84.27,25,90.13
P0307,33,8,4,45,27,81.85,22,81.19
P0308,38,5,9,16,9,93.78,29,93.92
P0309,40,9,2,46,31,97.04,29,92.43
P0310,44,5,6,20,12,77.89,22,83.9
P0311,42,6,4,38,13,68.0,32,82.48
P0312,30,8,3,43,28,67.31,30,86.45
P0313,41,5,6,19,12,91.25,20,84.67
P0314,32,13,7,42,23,81.67,23,100.0
P0315,42,11,8,30,21,83.28,21,100.0
P0316,12,9,9,44,31,69.47,16,91.32
P0317,27,6,5,40,22,76.73,17,88.03
P0318,34,9,4,26,15,79.93,26,87.55
P0319,40,9,3,27,20,83.45,25,90.62
P0320,12,3,7,17,7,79.21,26,65.48
P0321,49,7,4,24,11,74.74,31,87.85
P0322,33,8,8,33,13,76.51,20,89.89
P0323,41,8,8,24,17,90.46,20,94.96
P0324,31,7,1,31,20,83.71,10,80.57
P0325,32,6,5,20,7,86.29,16,77.42
P0326,11,5,4,24,17,75.71,22,73.44
P0327,36,10,3,44,28,61.32,29,92.44
P0328,11,5,2,15,10,78.34,22,69.14
P0329,35,8,8,41,15,75.93,37,92.19
P0330,26,8,8,28,15,84.44,29,85.35
P0331,49,8,3,27,16,98.0,22,91.1
P0332,42,6,4,21,11,86.87,28,87.19
P0333,18,8,12,23,14,98.0,29,100.0
P0334,48,7,3,33,22,85.98,22,89.47
P0335,38,10,3,41,20,77.59,26,91.73
P0336,35,7,4,41,28,84.44,33,89.71
P0337,44,8,3,33,13,94.46,24,85.92
P0338,34,9,4,37,16,94.81,24,88.16
P0339,33,8,6,39,14,77.97,32,79.11
P0340,22,6,4,36,17,83.77,18,83.26
P0341,16,9,3,36,18,72.0,23,68.58
P0342,45,7,8,39,26,87.77,28,99.11
P0343,29,8,2,33,20,92.87,26,81.52
P0344,10,11,3,38,19,82.28,29,79.67
P0345,17,7,7,42,25,77.33,19,89.48
P0346,25,9,3,45,16,84.52,25,84.42
P0347,23,8,7,29,12,84.92,26,81.45
P0348,21,6,5,19,11,82.57,25,74.76
P0349,32,6,2,27,16,83.25,25,76.15
P0350,24,14,9,42,27,80.78,22,100.0
P0351,37,12,4,29,14,88.97,20,94.45
P0352,43,5,3,31,19,87.15,34,94.4
P0353,11,12,1,54,33,75.12,32,79.63
P0354,41,8,2,33,24,74.93,25,86.89
P0355,32,7,6,32,13,80.22,23,82.69
P0356,31,4,10,13,7,87.16,35,89.29
P0357,34,5,6,16,9,83.04,22,81.48
P0358,31,5,6,16,11,77.5,24,81.08
P0359,31,4,2,19,8,83.83,24,73.22
P0360,15,7,4,27,15,79.68,25,72.58
P0361,24,9,5,46,22,88.16,19,93.55
P0362,46,7,8,22,12,84.33,21,95.19
P0363,42,6,5,18,7,79.79,34,87.17
P0364,17,7,3,37,13,83.62,20,79.97
P0365,14,4,1,38,22,91.21,23,74.35
P0366,48,9,7,27,13,78.01,24,99.84
P0367,13,10,7,33,13,84.82,26,87.14
P0368,15,11,4,50,23,81.51,16,84.73
P0369,41,11,4,39,14,84.99,21,92.5
P0370,39,8,4,32,23,77.42,22,88.74
P0371,44,10,9,43,25,82.77,28,100.0
P0372,49,9,1,31,20,89.75,31,100.0
P0373,25,8,3,30,15,75.44,32,81.37
P0374,22,3,4,29,20,72.69,23,72.27
P0375,39,5,3,24,13,72.96,19,77.6
P0376,28,7,3,30,17,73.81,22,90.1
P0377,26,7,8,32,17,86.17,19,82.87
P0378,28,8,11,28,18,72.16,22,87.68
P0379,37,5,4,30,17,79.91,22,75.51
P0380,35,7,2,35,16,86.33,21,81.17
P0381,46,7,3,38,15,84.92,41,91.09
P0382,35,7,4,22,13,79.3,25,80.44
P0383,32,7,2,24,13,83.34,30,78.33
P0384,18,10,7,36,13,82.75,23,86.83
P0385,21,7,2,36,18,80.43,24,74.98
P0386,10,9,11,29,16,80.52,19,88.61
P0387,10,7,5,23,15,97.65,27,85.81
P0388,43,5,5,24,9,87.67,23,86.0
P0389,41,8,4,26,12,98.0,26,94.59
P0390,34,12,4,42,28,78.52,28,100.0
P0391,49,4,4,18,10,81.41,31,83.56
P0392,10,9,3,36,16,72.68,20,73.52
P0393,25,7,5,30,20,76.33,32,80.69
P0394,48,9,9,44,24,95.31,24,100.0
P0395,14,10,5,50,27,78.35,29,86.11
P0396,31,6,2,28,20,95.43,27,87.36
P0397,38,11,6,34,24,73.3,34,99.23
P0398,12,6,7,26,12,74.63,30,78.68
P0399,21,9,5,38,15,79.61,23,78.19
P0400,35,9,7,42,20,81.55,14,97.43
P0401,25,7,7,44,15,88.46,25,84.76
P0402,46,7,8,26,9,85.16,22,86.65
P0403,31,8,7,29,14,79.09,34,87.06
P0404,38,12,3,41,29,81.07,17,100.0
P0405,23,7,4,38,26,79.77,27,82.89
P0406,37,4,4,29,16,75.6,32,78.18
P0407,14,7,3,37,21,75.78,26,75.58
P0408,39,7,7,35,12,89.2,32,90.89
P0409,14,7,7,25,10,69.2,34,73.47
P0410,21,5,3,15,5,93.32,28,74.04
P0411,25,7,7,38,24,79.6,29,93.06
P0412,35,6,8,30,12,76.59,23,85.89
P0413,35,7,3,35,24,87.18,19,82.54
P0414,30,7,4,31,18,92.4,22,84.55
P0415,48,11,7,28,12,89.82,23,97.78
P0416,45,10,1,38,15,85.51,16,87.93
P0417,42,8,4,21,12,89.61,31,95.29
P0418,39,11,2,31,22,69.98,29,89.27
P0419,46,7,2,25,15,78.35,26,83.82
P0420,32,11,5,45,22,75.62,23,99.22
P0421,19,4,6,26,15,90.57,28,82.5
P0422,14,6,5,40,18,79.32,29,79.93
P0423,45,8,4,34,25,87.92,17,100.0
P0424,43,12,5,43,27,85.75,26,100.0
P0425,40,6,7,21,12,75.96,29,77.94
P0426,19,6,4,21,10,77.89,19,75.51
P0427,28,8,2,41,24,91.06,22,80.09
P0428,41,10,9,48,23,76.57,28,100.0
P0429,10,9,4,24,9,82.87,20,68.4
P0430,14,13,3,48,24,76.52,26,86.24
P0431,13,8,4,44,31,79.8,32,84.35
P0432,25,11,4,35,21,81.68,28,87.33
P0433,33,10,6,34,13,76.52,14,85.35
P0434,25,11,4,52,36,75.28,29,99.68
P0435,11,13,6,48,21,84.0,27,89.32
P0436,37,6,9,20,8,76.09,29,88.06
P0437,41,12,3,36,16,76.33,22,87.62
P0438,36,7,3,36,20,75.43,20,81.66
P0439,29,9,8,42,23,81.45,20,94.7
P0440,33,5,6,40,21,88.61,28,83.76
P0441,21,8,1,37,23,92.55,24,77.69
P0442,44,10,7,40,19,76.92,33,100.0
P0443,42,9,5,40,26,97.05,24,100.0
P0444,42,2,7,15,6,74.97,20,74.88
P0445,46,8,5,21,13,89.58,24,90.12
P0446,21,7,2,19,11,76.95,21,72.95
P0447,12,4,6,30,18,75.9,25,73.47
P0448,10,8,7,24,13,76.79,18,78.46
P0449,42,13,5,53,32,81.63,26,95.62
P0450,49,5,6,34,12,86.06,22,83.23
P0451,19,4,5,33,22,86.69,28,76.28
P0452,38,9,6,42,15,75.39,25,89.96
P0453,22,4,3,16,6,75.07,24,67.48
P0454,21,6,4,41,23,75.58,32,82.97
P0455,40,8,5,26,16,81.22,41,92.95
P0456,11,11,8,29,11,80.53,26,80.73
P0457,44,8,10,26,18,75.35,25,100.0
P0458,32,4,5,25,18,83.89,31,87.26
P0459,26,6,3,39,23,97.84,27,81.07
P0460,35,9,7,29,15,78.47,20,91.0
P0461,17,9,2,46,29,78.97,28,81.87
P0462,38,6,6,20,9,85.92,31,86.14
P0463,35,10,6,25,13,78.09,17,92.64
P0464,19,6,6,22,15,86.68,24,89.11
P0465,35,4,5,36,26,76.97,31,87.89
P0466,43,4,0,17,12,94.82,15,77.68
P0467,50,8,6,33,15,84.41,13,90.87
P0468,16,9,4,41,18,77.66,28,82.11
P0469,13,10,6,28,13,77.88,27,87.91
P0470,20,13,3,54,28,78.4,21,91.45
P0471,38,11,6,32,15,91.61,28,94.3
P0472,45,8,3,33,16,73.12,22,78.7
P0473,34,11,5,31,18,77.32,23,93.54
P0474,30,1,2,19,12,78.07,16,66.13
P0475,45,14,4,57,36,81.89,22,100.0
P0476,19,10,7,34,22,80.1,24,94.2
P0477,46,9,6,25,9,71.56,23,86.34
P0478,18,10,7,47,17,79.2,33,88.33
P0479,33,6,6,41,27,81.3,26,89.68
P0480,44,12,2,41,23,77.6,25,93.77
P0481,44,6,0,28,16,86.81,21,81.83
P0482,45,11,4,30,11,88.44,18,97.61
P0483,27,7,5,28,12,81.45,29,77.21
P0484,48,7,2,44,26,83.61,25,93.06
P0485,41,7,3,21,14,66.87,25,80.66
P0486,33,3,6,27,19,79.05,23,80.49
P0487,32,5,9,23,12,89.03,25,90.62
P0488,41,7,6,19,10,79.04,28,86.52
P0489,46,14,4,50,34,76.84,24,100.0
P0490,21,9,2,31,17,97.94,25,87.89
P0491,22,4,6,33,18,94.73,32,81.27
P0492,32,12,7,48,34,85.27,33,100.0
P0493,34,9,2,47,31,89.97,38,94.98
P0494,44,5,6,23,16,66.42,20,81.17
P0495,50,5,8,16,6,76.49,27,84.89
P0496,39,7,4,37,20,78.71,32,89.83
P0497,26,13,6,46,31,80.35,22,100.0
P0498,29,10,6,27,10,78.57,23,87.77
P0499,34,10,1,40,26,64.15,29,85.11
P0500,31,5,7,35,14,84.7,28,77.79
P0501,22,7,6,31,20,85.81,23,85.29
P0502,28,5,5,17,10,93.21,22,80.11
P0503,45,11,3,36,15,76.48,17,90.84
P0504,21,7,7,40,21,75.91,21,81.16
P0505,50,9,4,40,24,63.24,26,86.81
P0506,28,7,2,24,14,79.95,24,80.0
P0507,21,8,7,26,13,88.31,32,85.99
P0508,18,6,5,34,24,77.72,18,79.99
P0509,16,2,8,14,7,97.0,25,73.88
P0510,37,6,7,22,12,80.2,27,85.64
P0511,23,6,5,38,14,83.03,29,78.22
P0512,40,12,4,41,29,72.46,31,95.05
P0513,28,5,3,28,11,84.01,36,79.35
P0514,25,5,9,35,19,68.14,25,79.57
P0515,14,6,4,23,15,86.86,21,76.21
P0516,44,6,8,29,12,87.07,27,93.08
P0517,21,9,4,37,20,91.52,27,85.39
P0518,34,12,2,40,17,74.86,32,84.66
P0519,30,10,2,45,29,83.12,26,100.0
P0520,45,5,5,15,8,85.95,23,80.94
P0521,32,10,8,49,33,85.1,25,100.0
P0522,25,12,5,31,21,75.94,35,100.0
P0523,48,4,6,30,18,65.26,24,85.85
P0524,48,8,3,46,29,84.43,21,93.87
P0525,23,8,5,42,23,80.93,34,87.51
P0526,40,7,8,26,13,78.03,30,86.87
P0527,14,6,4,18,10,87.35,22,77.14
P0528,44,6,5,20,14,81.69,25,88.54
P0529,32,8,1,38,19,72.77,28,78.11
P0530,38,9,5,47,22,68.48,19,83.93
P0531,20,11,6,52,26,74.1,23,85.4
P0532,27,11,3,39,20,98.0,15,95.44
P0533,21,6,6,31,11,87.06,21,79.54
P0534,18,8,5,22,12,83.32,29,81.71
P0535,19,10,5,34,18,80.73,23,82.2
P0536,26,6,6,18,10,80.27,27,73.68
P0537,47,7,6,39,19,90.17,28,99.44
P0538,16,6,7,28,16,78.57,23,79.11
P0539,22,8,6,25,17,86.04,21,88.85
P0540,49,8,5,32,23,79.56,19,92.25
P0541,18,13,6,53,30,95.58,25,100.0
P0542,36,5,6,15,5,87.2,29,84.24
P0543,11,9,5,24,17,90.72,26,86.81
P0544,14,8,10,36,22,77.91,26,92.09
P0545,38,11,4,48,23,89.41,19,95.22
P0546,46,7,8,20,8,79.81,28,92.64
P0547,47,8,6,36,14,82.77,18,95.6
P0548,28,4,4,32,13,93.45,21,77.58
P0549,17,7,5,44,16,74.7,33,76.85
P0550,10,8,4,36,25,83.42,20,86.28
P0551,31,12,6,34,19,85.07,18,92.64
P0552,26,8,2,33,20,85.64,17,84.06
P0553,16,7,2,30,20,78.84,22,75.1
P0554,34,9,9,45,29,96.6,25,97.03
P0555,13,9,1,32,22,72.94,28,81.13
P0556,45,10,3,29,21,92.21,17,84.25
P0557,15,4,4,20,10,90.51,22,63.52
P0558,40,5,3,20,14,95.31,22,85.76
P0559,28,10,2,29,18,70.88,26,84.33
P0560,48,13,6,50,18,75.92,15,96.81
P0561,36,13,2,52,32,92.44,36,100.0
P0562,19,7,7,24,14,68.86,21,67.59
P0563,35,8,10,42,29,70.75,21,99.32
P0564,28,6,1,33,16,78.58,30,77.0
P0565,48,10,2,30,17,83.34,28,92.44
P0566,12,8,4,37,13,93.15,23,79.56
P0567,22,5,4,19,9,80.7,17,73.48
P0568,37,10,8,47,17,77.74,24,94.77
P0569,29,13,6,47,26,84.18,21,92.2
P0570,37,3,2,27,18,85.29,25,86.12
P0571,17,10,6,37,16,85.09,26,91.86
P0572,50,1,8,28,15,80.75,24,78.94
P0573,48,5,8,21,9,68.31,25,82.8
P0574,10,10,2,46,18,75.58,19,75.04
P0575,12,13,5,51,28,91.94,29,100.0
P0576,22,11,4,32,12,83.31,27,76.95
P0577,37,6,3,30,17,79.74,22,79.29
P0578,34,9,8,38,13,89.83,26,87.04
